Feb 07, 2020  212.32 223.14 212.30 222.73 16,673,443,564 24,412,375,482
Feb 06, 2020  204.13 214.60 201.90 212.34 16,425,589,683 23,270,983,772
Feb 05, 2020  189.30 206.80 188.75 204.23 14,865,434,435 22,379,510,312
Feb 04, 2020  189.86 191.11 185.40 189.25 11,714,191,695 20,735,478,720
Feb 03, 2020  188.61 193.44 188.01 189.87 12,392,875,241 20,800,183,238
Feb 02, 2020  183.53 193.08 180.17 188.62 14,054,425,389 20,660,936,267
