Feb 07, 2020  9,726.00 9,834.72 9,726.00 9,795.94 34,522,718,159 178,339,437,206
Feb 06, 2020  9,617.82 9,824.62 9,539.82 9,729.80 37,628,823,716 177,118,274,394
Feb 05, 2020  9,183.42 9,701.30 9,163.70 9,613.42 35,222,060,874 174,983,423,933
Feb 04, 2020  9,292.84 9,331.27 9,112.81 9,180.96 29,893,183,716 167,093,636,162
Feb 03, 2020  9,344.68 9,540.37 9,248.63 9,293.52 30,934,096,509 169,126,861,034
Feb 02, 2020  9,389.82 9,468.80 9,217.82 9,344.37 30,835,736,946 170,034,976,662
